Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3694|2011110|750|2022-02-09|2c2cc82e-23ef-4b67-9ade-bd721c47f6a3|DAP|USD|5278.92|5278.92|MEX| |CAM930415290|CONTINENTAL AUTOMOTIVE MEXICANA S. DE R.L. DE C.V.|PASEO DE LAS COLINAS|B|100|36270|SILAO|2022-03-14 19:04:01|
3995|2003128|240||COVE2250HMF85|DAP| |0.00|0.00| | |63-0588992|BURNETT EQUIPMENT, INC.||||||2022-03-17 18:35:04|
3694|2011110|750|2022-02-17|6d3b3984-8355-4940-bcda-cc319fb3ffde|DAP|USD|12760.72|12760.72|MEX| |CAM930415290|CONTINENTAL AUTOMOTIVE MEXICANA S. DE R.L. DE C.V.|PASEO DE LAS COLINAS|B|100|36270|SILAO|2022-03-14 19:04:01|
3430|2001792|810||COVE224UY9MD7|EXW| |0.00|0.00| | |DE148422418|HAGENBURGER FEUERFESTE PRODUKTE GMBH||||||2022-03-08 13:25:02|
3995|2003627|240|2022-03-16|b8292de1-449b-4a9d-80e7-ef46c2071aa4|FCA|USD|31537.84|31537.84|USA| |432096069|WORLDWIDE TECHNOLOGIES LLC|REASONOVER DRIVE||145|42134|FRANKLIN|2022-03-17 17:53:12|
3995|2003133|240||COVE224ZB6N92|FCA| |0.00|0.00| | |36-2644555|DISA INDUSTRIES INC.||||||2022-03-17 18:35:03|
3694|2011118|750|2022-02-04|66fbd135-2474-4f15-a64c-cce7979ef2f0|DAP|USD|38840.12|38840.12|USA| |36-2691823|POWERBRACE CORPORATION|60TH AVE|S/N|7640|53142|KENOSHA|2022-03-14 19:05:02|
3694|2011113|750|2022-02-23|59501f61-6bcb-40a0-9bbd-071a73e95e9e|DAP|USD|5550.14|5550.14|LUX| |20112443887|JOHN DEERE MEXICO, SARL|AVENUE JOHN F. KENNEDY||43|L-1855|LUXEMBURGO|2022-03-08 15:02:00|
3694|2011110|750|2022-02-09|7d9b21b6-ba40-4336-9091-fc0313a0d00d|DAP|USD|3782.73|3782.73|MEX| |CAM930415290|CONTINENTAL AUTOMOTIVE MEXICANA S. DE R.L. DE C.V.|PASEO DE LAS COLINAS|B|100|36270|SILAO|2022-03-14 19:04:01|
3694|2011110|750|2022-02-25|2f3b88d6-db3d-4430-a26a-1d27d66602a1|DAP|USD|18073.60|18073.60|MEX| |CAM930415290|CONTINENTAL AUTOMOTIVE MEXICANA S. DE R.L. DE C.V.|PASEO DE LAS COLINAS|B|100|36270|SILAO|2022-03-14 19:04:01|
3694|2011109|750|2022-02-28|c18bf682-e48a-4913-85dd-a22d45fddab3|DAP|USD|16394.92|16394.92|LUX| |20062417197|AAM INTERNATIONAL SARL|RUE DE KOERICH|S/N|68|L-8437|STEINFORT|2022-03-22 18:01:00|
3694|2011118|750|2022-02-25|1f63fd01-b27c-47e0-8682-64ad86ccf105|DAP|USD|19637.91|19637.91|USA| |36-2691823|POWERBRACE CORPORATION|60TH AVE|S/N|7640|53142|KENOSHA|2022-03-14 19:05:02|
3694|2011119|750|2022-02-08|14fb6b43-2765-4a27-83ce-3290dec32619|DAP|USD|5679.17|5679.17|USA| |80-0871159|SUSSEK MACHINE COMPANY, LLC|PIERCE ST|S/N|805|53594|WATERLOO|2022-03-07 16:21:03|
3694|2011120|750|2022-02-21|581b72e1-0162-44ce-8fa8-8cb4b0c4d101|DAP|USD|2863.73|2863.73|USA| |80-0871159|SUSSEK MACHINE COMPANY, LLC|PIERCE ST|S/N|805|53594|WATERLOO|2022-03-07 17:17:00|
3694|2011124|750|2022-02-25|cf739327-a77e-4ce8-be21-9d097e9bb822|DAP|USD|11063.99|11063.99|USA| |133369789|ZF ACTIVE SAFETY US INC.|TECH CENTER DRIVE|S/N|12001|48150|LIVONIA|2022-03-16 16:18:04|
3995|2003317|240||COVE2250GL8U7|FCA| |0.00|0.00| | |ESF01365550|LORAMENDI, S. COOP.||||||2022-03-17 13:45:10|
3995|2003809|240||COVE22512GHT1|FCA| |0.00|0.00| | |36-2644555|DISA INDUSTRIES INC.||||||2022-03-24 15:47:07|
